name,team,position,age,gamesPlayed,mpg,min%,usg%,to%,fta,ft%,2pa,2p%,3pa,3p%,efg%,ts%,ppg,rpg,trb%,apg,ast%,spg,bpg,topg,vi,ortg,drtg
Obi Toppin,Nyk,F,24.92,37,15.3,31.9,18.7,8.5,23,0.826,94,0.489,123,0.374,0.53,0.548,6.7,3.3,11.6,0.9,8.5,0.38,0.16,0.57,7.1,112.8,108.9
Juan Toscano-Anderson,Lal,F,29.82,30,12.2,25.3,10.4,19,15,0.733,46,0.63,20,0.2,0.53,0.558,2.7,2,9,0.8,8.6,0.33,0.23,0.57,5.3,107.1,104.9
Karl-Anthony Towns,Min,C-F,27.22,21,33.8,70.3,24.9,15.7,104,0.885,186,0.618,117,0.325,0.568,0.625,20.8,8.2,13.6,5.3,23.5,0.76,0.67,3.1,11.4,118.4,103.8
Gary Trent Jr.,Tor,G-F,24.04,46,33.3,69.5,21.9,5.3,165,0.836,343,0.513,331,0.372,0.535,0.575,18.7,2.5,4.2,1.6,7.1,1.7,0.28,0.91,5.1,118.3,114.3
P.J. Tucker,Phi,F,37.75,48,26.2,54.5,6.2,18.8,18,0.889,57,0.421,78,0.385,0.511,0.539,3.2,4,8.9,0.8,4,0.52,0.25,0.69,3.3,112.9,106.8
Myles Turner,Ind,C-F,26.86,43,29.9,62.4,21,10.6,185,0.762,325,0.625,173,0.393,0.612,0.648,17.5,7.8,14.3,1.3,7,0.58,2.37,1.6,7.5,121.5,106.8
Jonas Valanciunas,Nor,C,30.74,52,24.6,51.3,24,14.5,156,0.821,465,0.572,88,0.352,0.565,0.606,14.5,9.6,21.9,1.6,10.2,0.29,0.52,2.02,9.9,115.6,100
Jarred Vanderbilt,Uta,F,23.84,51,24.2,50.4,14.4,16.1,102,0.657,253,0.609,56,0.339,0.591,0.61,8.5,7.8,17.7,2.7,15.4,1.02,0.27,1.33,9.3,125.4,104.7
Fred VanVleet,Tor,G,28.94,44,37,77,22.8,9.2,184,0.902,331,0.459,378,0.344,0.489,0.544,19.5,4.5,6.8,6.6,26.2,1.59,0.61,1.82,9,117.9,110.5
Devin Vassell,San,G-F,22.44,29,31.3,65.1,25,8.2,87,0.793,260,0.477,203,0.404,0.533,0.562,19.4,4,7.1,3.6,17.2,1.21,0.41,1.55,8.4,112.7,118.9
Gabe Vincent,Mia,G,26.64,38,24.8,51.6,18.2,13.6,46,0.87,126,0.516,190,0.332,0.505,0.534,9.4,2.2,5,2.6,15.4,0.82,0.08,1.39,6.1,104.3,105
Noah Vonleh,Bos,F,27.44,23,7.5,15.6,9.1,30.7,2,1,20,0.5,4,0.25,0.479,0.502,1.1,2.1,15.4,0.3,5.1,0.09,0.35,0.48,4.7,102.8,93.1
Nikola Vucevic,Chi,C,32.28,50,34,70.8,21,11,96,0.833,456,0.599,230,0.37,0.584,0.605,17.6,11.1,18.4,3.3,14.7,0.68,0.86,1.8,10.2,119.5,107.6
Dean Wade,Cle,F-C,26.2,23,22.6,47.2,11,8.6,21,0.619,33,0.576,75,0.4,0.593,0.601,6.1,3.7,9.5,1,5.9,0.7,0.43,0.48,5,119.8,102
Franz Wagner,Orl,F,21.44,51,33.2,69.1,24.5,11.2,224,0.839,515,0.546,235,0.366,0.547,0.594,19.8,4,6.9,3.5,17.1,0.92,0.2,2.1,7.9,116.1,112.1
Moritz Wagner,Orl,F-C,25.77,31,21.5,44.9,20.8,13.4,101,0.871,133,0.639,100,0.31,0.564,0.633,11.3,5.2,13.8,1.7,12.1,0.71,0.19,1.39,8.6,122.6,102.2
Ish Wainright,Pho,F,28.39,35,14.6,30.3,11.8,11.3,10,0.7,33,0.485,88,0.352,0.517,0.526,3.8,2,7.6,1,9.2,0.74,0.23,0.46,5.4,114,103
Lonnie Walker IV,Lal,G-F,24.14,35,28.8,59.9,19.5,7.3,75,0.88,214,0.523,183,0.377,0.543,0.578,14.2,2.3,4.3,1.3,6.5,0.71,0.34,0.97,4.8,111.9,113.9
Jabari Walker,Por,F,20.51,32,8.6,18,13.5,12.9,21,0.667,49,0.469,16,0.188,0.423,0.465,2.2,2.2,14.4,0.5,7.7,0.09,0.16,0.34,6.2,108.8,106.2
Kemba Walker,Dal,G,32.74,9,16,33.3,22.2,5.7,21,0.81,29,0.586,28,0.25,0.482,0.543,8,1.8,6.6,2.1,20.8,0.22,0.22,0.44,7.8,118.4,112.2
John Wall,Lac,G,32.41,34,22.2,46.2,27.1,17.1,113,0.681,229,0.459,109,0.303,0.457,0.498,11.4,2.7,6.7,5.2,36.4,0.79,0.35,2.35,9.8,102.3,108.5
T.J. Warren,Bro,F,29.41,24,19,39.6,20.8,7.5,29,0.793,139,0.554,45,0.333,0.541,0.564,9.3,2.9,8.6,1.2,9.2,0.63,0.29,0.67,6.7,111.4,108.9
Duane Washington Jr.,Pho,G,22.86,31,12.7,26.5,32.6,11.3,24,0.667,145,0.372,111,0.36,0.445,0.458,7.9,1.2,5.1,2,25.8,0.19,0.13,1.1,8.4,93.5,113.6
TyTy Washington Jr.,Hou,G,21.22,17,11.8,24.6,16.6,11.2,8,0.5,35,0.514,33,0.152,0.375,0.385,3.2,1.3,5.9,1.3,15.4,0.47,0,0.53,6,87.9,110.2
P.J. Washington,Cha,F,24.45,51,32.5,67.8,19.5,9.5,117,0.778,364,0.511,288,0.354,0.52,0.547,15.1,4.6,7.5,2.4,10.9,0.92,1.06,1.45,6.8,109.4,111.8
Yuta Watanabe,Bro,G-F,28.31,38,18.3,38.1,13.4,7.2,37,0.73,79,0.582,98,0.48,0.658,0.673,6.8,2.7,8.3,0.8,6.1,0.47,0.37,0.39,5.4,131.8,110.8
Lindy Waters III,Okc,F,25.52,19,11.3,23.4,14.7,6.7,7,0.714,5,0.6,62,0.371,0.56,0.571,4.2,1.6,7.4,0.8,9.1,0.32,0.32,0.26,6.2,120.1,109.2
Trendon Watford,Por,F,22.23,35,15.2,31.7,13.3,18.5,50,0.76,85,0.612,25,0.36,0.595,0.64,4.8,3.3,12.4,1.4,12.6,0.37,0.14,0.86,7.4,120.3,106.8
Peyton Watson,Den,G,20.4,6,2.5,5.2,25.9,0,0,0,8,0.375,1,0,0.333,0.333,1,0.5,11.5,0,0,0,0,0,0,N/A,N/A
Blake Wesley,San,G,19.89,8,9.5,19.8,20,21.9,8,0.5,17,0.471,8,0.375,0.5,0.508,3.6,1,5.9,0.9,12.3,0.13,0.13,1,6.2,89.1,109.4
Russell Westbrook,Lal,G,34.22,49,28.7,59.9,28.6,18.1,222,0.658,485,0.472,198,0.288,0.46,0.496,15.8,6.3,11.8,7.5,38.3,1.04,0.45,3.53,12.6,101,107.5
