name,team,position,age,gamesPlayed,mpg,min%,usg%,to%,fta,ft%,2pa,2p%,3pa,3p%,efg%,ts%,ppg,rpg,trb%,apg,ast%,spg,bpg,topg,vi,ortg,drtg
Saben Lee,Pho,G,23.61,11,17.7,36.8,16.8,15.7,33,0.788,38,0.421,12,0.5,0.5,0.589,6.9,2.3,7.2,3.3,24.9,0.45,0.09,1.09,8.5,123.5,112
Alex Len,Sac,C,29.63,12,3.6,7.6,15.5,25.4,4,0.75,9,0.556,1,0,0.5,0.553,1.1,1.3,19.8,0.3,11.8,0,0,0.33,8.4,N/A,N/A
Kawhi Leonard,Lac,F,31.6,28,31.6,65.8,26.8,8.1,137,0.854,316,0.57,122,0.361,0.562,0.611,21.8,6.1,10.7,4,21.8,1.32,0.46,1.57,10.3,124.4,110.6
Caris LeVert,Cle,G,28.44,49,30.9,64.4,19.8,11.9,129,0.705,314,0.436,219,0.374,0.488,0.518,12.5,3.9,7.4,3.8,17.7,0.78,0.24,1.63,7.4,107.1,106.8
Kira Lewis Jr.,Nor,G,21.83,7,10.5,21.9,21,11,8,1,21,0.619,8,0.375,0.603,0.661,6.1,1.7,9.2,0.7,10.4,0.14,0.14,0.57,7.4,123.1,106.6
Damian Lillard,Por,G,32.55,39,36,75,32.7,11.5,345,0.907,347,0.579,433,0.372,0.567,0.643,30.7,4.1,6.5,7.4,34.8,0.85,0.33,3.1,10.9,127.9,114.5
Nassir Little,Por,F-G,22.98,30,16.2,33.7,14.9,9.6,26,0.615,69,0.536,70,0.443,0.601,0.608,6.1,2.3,8.2,0.9,7.6,0.33,0.27,0.53,5.7,118.4,113.9
Isaiah Livers,Det,F,24.52,30,21,43.7,11.3,8.3,27,0.778,33,0.515,110,0.364,0.538,0.565,5.8,2.4,6.2,0.7,4.3,0.4,0.57,0.47,4.1,114.8,114.1
Kenneth Lofton Jr.,Mem,F,20.47,7,4.2,8.7,29.5,9.4,5,0.6,14,0.5,3,0,0.412,0.443,2.4,0.6,7.1,0.6,20.5,0,0,0.29,9.1,95.9,102.9
Kevon Looney,Gol,F,26.99,51,23.4,48.8,10.1,8.3,93,0.624,225,0.644,0,0,0.644,0.654,6.8,8.6,20.1,2.6,14.9,0.53,0.57,0.47,9.1,152.1,102.9
Brook Lopez,Mil,C,34.84,50,30.4,63.2,18.3,10.7,96,0.792,301,0.598,250,0.376,0.583,0.605,14.4,6.3,10.8,1.3,6.1,0.52,2.52,1.42,6.5,117.9,106
Robin Lopez,Cle,C,34.84,26,8.7,18,15.2,24.9,14,0.714,50,0.64,1,1,0.657,0.674,3,1.5,10.2,0.5,7.7,0.04,0.15,0.73,6,112.9,100.1
Kevin Love,Cle,F-C,34.4,41,20,41.7,19.6,13.1,63,0.889,90,0.467,195,0.354,0.511,0.555,8.5,6.8,20.1,1.9,13.2,0.17,0.17,1.15,9.6,111.8,101.8
Kyle Lowry,Mia,G,36.86,43,33.5,69.8,17.1,15.6,117,0.855,155,0.51,265,0.336,0.506,0.557,12.2,4.4,7.6,5.3,23,1.12,0.4,2.02,7.9,113.4,105.6
Trey Lyles,Sac,F,27.24,44,15.8,32.9,18.1,11.6,68,0.794,94,0.617,135,0.363,0.574,0.612,7.2,3.7,13.3,0.8,7,0.36,0.52,0.77,7,118.6,108.9
Theo Maledon,Cha,G,21.64,36,16.1,33.6,15.5,16.2,56,0.875,94,0.468,63,0.333,0.481,0.551,5.6,2.4,7.8,2.4,19.8,0.75,0.17,0.97,7.9,110.8,112.4
Sandro Mamukelashvili,Mil,F-C,23.7,20,8.5,17.8,14.1,10.5,12,0.583,21,0.476,25,0.24,0.413,0.439,2.3,2.2,13.4,0.7,10.7,0.1,0.15,0.3,7.2,103.7,105.4
Terance Mann,Lac,G-F,26.29,53,22.8,47.5,15.5,11.9,74,0.757,220,0.582,125,0.36,0.567,0.592,8.4,3.6,8.8,2.1,13.3,0.57,0.3,0.96,7,119.1,109.1
Tre Mann,Okc,G,22,46,18.6,38.7,20.5,10.7,31,0.71,168,0.488,194,0.309,0.475,0.487,8,2.4,6.8,1.5,11.3,0.67,0.2,0.98,6.6,98.3,109.1
Boban Marjanovic,Hou,C,34.47,16,4.2,8.6,21.9,11.4,14,0.786,24,0.708,1,0,0.68,0.722,2.8,1.6,20.4,0.3,10.6,0.06,0.06,0.25,10.5,137.9,114.9
Lauri Markkanen,Uta,F-C,25.7,48,34.3,71.4,25.1,9,279,0.875,424,0.592,347,0.432,0.617,0.669,24.9,8.7,14,1.8,8.1,0.65,0.63,1.83,8.5,129.5,111.7
Naji Marshall,Nor,F,25.03,47,25.2,52.4,18.1,12.4,121,0.793,237,0.498,153,0.314,0.487,0.537,10.1,3.8,8.4,2.6,14.1,0.79,0.23,1.34,7.4,109.2,110.2
Kenyon Martin Jr.,Hou,F,22.07,51,25.4,52.9,16.7,10.7,118,0.61,275,0.673,141,0.326,0.611,0.62,11.4,5.5,11.6,1.5,8.8,0.43,0.31,1.1,7.2,122,113.4
Caleb Martin,Mia,F,27.35,42,30.7,63.9,14.4,11.6,57,0.789,196,0.526,151,0.384,0.548,0.571,10.1,4.9,9.2,1.7,8,1.02,0.36,1.17,5.7,112.8,106.9
Cody Martin,Cha,F,27.35,7,19.1,39.8,12.8,4.9,7,0.571,22,0.5,14,0.214,0.431,0.448,5,3.4,9.5,1.6,10.9,0.57,0.14,0.29,6.3,108.6,110.1
Tyrese Martin,Atl,G,23.91,12,3.6,7.6,17.3,5.6,2,1,11,0.455,5,0.2,0.406,0.444,1.3,0.5,7.4,0,0,0.08,0,0.08,0,N/A,N/A
Garrison Mathews,Hou,G,26.28,44,13.5,28.1,14.2,8.3,45,0.911,15,0.467,153,0.346,0.515,0.57,4.9,1.4,5.5,0.5,5.3,0.52,0.09,0.39,4.5,118.7,111.5
Bennedict Mathurin,Ind,G-F,20.63,52,28.6,59.5,25.9,10.4,333,0.823,445,0.481,235,0.323,0.482,0.563,17.9,4.2,8.1,1.4,7.6,0.6,0.1,1.85,6.6,110,114
Wesley Matthews,Mil,G,36.31,32,14.7,30.6,10.2,10.5,12,0.917,19,0.368,78,0.359,0.505,0.533,3.4,2.1,7.3,0.6,5.2,0.47,0.25,0.38,4.4,115.2,105.5
Tyrese Maxey,Phi,G,22.25,31,33.6,70,25.7,8.1,125,0.8,307,0.492,194,0.387,0.526,0.564,20.2,2.8,4.9,3.8,18.1,0.84,0.13,1.58,7.1,112.7,111.1
Miles McBride,Nyk,G,22.4,40,13.1,27.3,13.8,10.6,24,0.667,51,0.451,91,0.253,0.405,0.429,3.3,0.8,3.4,1.2,12,0.63,0.05,0.45,4.5,98.1,111.1
CJ McCollum,Nor,G,31.37,46,35.2,73.4,27.1,11.9,143,0.79,501,0.459,349,0.387,0.509,0.536,21.3,4.4,7.1,5.8,25.7,1,0.61,2.67,9.3,108.1,111.7
T.J. McConnell,Ind,G,30.86,49,19.7,41,17.6,21.1,41,0.902,273,0.535,30,0.433,0.546,0.573,7.5,2.9,8,5.1,37.8,1.14,0.1,1.76,9.8,115.5,113.1
Jaden McDaniels,Min,F,22.34,51,31.1,64.7,15,13.3,84,0.738,279,0.599,166,0.373,0.584,0.604,11.4,3.9,7,2,8.7,1,1.02,1.45,5.7,114.9,106.9
Jalen McDaniels,Cha,F-C,25.01,52,27,56.2,17.4,13,99,0.838,276,0.536,191,0.33,0.519,0.556,10.9,4.9,9.7,2,10.5,1.1,0.54,1.46,7,107.5,107.3
Doug McDermott,San,F,31.08,46,20.5,42.6,18.9,10.1,47,0.745,162,0.531,202,0.416,0.582,0.597,10,2.3,6.2,1.4,9.5,0.2,0.13,0.93,6.2,113.4,117.2
JaVale McGee,Dal,C-F,35.04,30,7.9,16.5,23.6,22.7,26,0.538,80,0.65,4,0.25,0.637,0.634,4,2.4,17.8,0.3,5.8,0.13,0.53,0.93,7.2,102.6,99.7
Bryce McGowens,Cha,G,20.24,22,13.8,28.8,12.5,9.8,20,0.85,48,0.375,26,0.346,0.426,0.483,3.6,1.6,6.2,1,8.9,0.18,0.18,0.41,5.2,104.5,116.4
Rodney McGruder,Det,G,31.52,20,10.7,22.2,13.4,10.3,11,0.727,16,0.375,40,0.375,0.509,0.534,3.3,1.4,7,0.7,9,0.25,0,0.35,5.5,112.9,116.6
Jordan McLaughlin,Min,G,26.82,18,15.9,33.2,12.5,16.7,9,1,32,0.625,34,0.235,0.485,0.522,4.1,1.7,5.9,3.6,28.9,0.83,0.11,0.78,7.4,119.2,115.8
De'Anthony Melton,Phi,G,24.69,47,28.9,60.2,17.4,13.3,45,0.778,173,0.462,269,0.394,0.541,0.555,10.9,4.5,9,2.8,13.9,1.85,0.55,1.51,7.1,109.3,105
Chimezie Metu,Sac,F-C,25.87,37,10.8,22.5,17.8,12.6,31,0.806,106,0.67,26,0.192,0.595,0.625,4.9,3.1,16.4,0.6,8.5,0.3,0.19,0.57,7.7,120.3,102.3
Khris Middleton,Mil,F,31.48,12,21.1,43.9,27,15.3,32,0.938,64,0.438,60,0.3,0.444,0.507,11.7,2.7,6.6,4.1,28.6,0.75,0.17,2.08,9.6,104.1,103.8
Patty Mills,Bro,G,34.48,31,12.9,26.8,18.9,10.1,20,0.9,46,0.587,97,0.392,0.587,0.613,6,0.9,4,1.4,14.9,0.39,0.03,0.55,6.1,118.8,116.2
Shake Milton,Phi,G-F,26.35,46,22.6,47.2,19.1,14.5,75,0.84,252,0.54,99,0.394,0.554,0.589,9.8,2.9,7.6,3.2,21.2,0.33,0.17,1.41,8,115.3,109.4
Josh Minott,Min,F,20.19,7,2.3,4.9,17.6,0,4,1,4,0.75,1,0,0.6,0.74,1.4,0.7,17.1,0.3,17.4,0.14,0.29,0,11.6,N/A,N/A
Davion Mitchell,Sac,G,24.41,49,18.1,37.6,14.5,14,20,0.75,136,0.559,113,0.336,0.534,0.545,5.7,1.4,4.5,2.1,15.2,0.51,0.22,0.86,5.7,108,110.7
Donovan Mitchell,Cle,G,26.4,43,35.8,74.7,31.5,11.2,239,0.866,449,0.559,407,0.391,0.572,0.617,27.6,3.9,6.4,4.9,23.8,1.53,0.35,2.81,9,119,106.4
Evan Mobley,Cle,C,21.63,51,34.2,71.3,19.6,13.9,182,0.692,516,0.597,60,0.2,0.566,0.593,15.3,8.9,15.3,2.7,12,0.71,1.35,2.08,8.4,115.9,103.4
Isaiah Mobley,Cle,F,23.36,8,3.3,6.8,13.7,0,0,0,6,0.5,2,0.5,0.563,0.563,1.1,1.4,24.9,0,0,0.13,0,0,0,N/A,N/A
Chima Moneke,Sac,F,27.11,2,4,8.2,26.4,41,2,0,2,0.5,0,0,0.5,0.347,1,1,14.5,0.5,16.4,0,0,1,7.9,73.3,95.8
Malik Monk,Sac,G,25,49,22.5,46.8,26.1,14,123,0.902,268,0.552,254,0.323,0.519,0.567,13.3,2.5,6.5,3.9,25.3,0.67,0.22,1.92,9,111.2,110.8
Moses Moody,Gol,G,20.68,39,14.8,30.8,14.4,13.6,37,0.703,57,0.596,98,0.367,0.568,0.59,5.2,1.7,6.3,0.9,8.2,0.33,0.13,0.69,5.4,111,113.8
Wendell Moore Jr.,Min,G,21.38,20,5.6,11.6,15.4,17.4,5,0.8,18,0.611,13,0.154,0.452,0.482,1.6,0.7,7.1,0.5,11.8,0.25,0.2,0.35,5.9,93.2,106.1
Ja Morant,Mem,G,23.48,43,32.7,68.1,34.9,12.7,366,0.749,665,0.514,227,0.322,0.506,0.559,27.4,5.8,9.3,8.3,41.9,1,0.28,3.56,13.4,115.4,108.9
Marcus Morris Sr.,Lac,F,33.42,46,28.9,60.2,19,7.3,78,0.795,259,0.49,242,0.38,0.529,0.553,12.9,4.4,8.5,1.8,9.4,0.61,0.41,0.91,6.5,111.6,108.6
Markieff Morris,Bro,F,33.42,26,10.7,22.4,15.9,14.1,10,1,33,0.394,48,0.417,0.531,0.562,3.7,2.2,11.8,1,11.6,0.31,0.19,0.54,7.5,112.1,105
Monte Morris,Was,G,27.6,43,28.3,59,15,9,59,0.814,213,0.526,146,0.397,0.554,0.579,10.4,3.3,6.4,5.3,25.6,0.72,0.19,0.88,8,126.1,113
Trey Murphy III,Nor,F,22.63,49,29.2,60.7,15.5,7.3,91,0.923,180,0.606,266,0.395,0.598,0.635,12.6,3.7,7.1,1.3,6.2,1.06,0.53,0.78,5.4,125.8,109.4
Dejounte Murray,Atl,G,26.37,47,36.5,76.1,25.2,10.5,120,0.842,594,0.507,265,0.37,0.522,0.547,21.2,5.5,8.1,6.1,24.8,1.62,0.32,2.28,9.8,111.6,113.6
Jamal Murray,Den,G,25.94,43,32.5,67.7,25.8,11.1,156,0.833,421,0.489,250,0.392,0.526,0.565,19.4,4.1,7.3,5.7,25.6,0.95,0.21,2.14,9.5,116,114.6
Keegan Murray,Sac,F,22.46,48,29.7,61.9,16.1,7.9,61,0.787,178,0.494,288,0.413,0.572,0.589,12.1,4.5,8.7,1,4.4,0.73,0.52,0.88,5.1,115.7,110.7
Mike Muscala,Okc,F-C,31.59,40,14.3,29.8,15.4,6.6,39,0.795,55,0.527,125,0.376,0.553,0.583,5.8,3.1,11.3,0.8,7.6,0.25,0.45,0.35,6.8,121.7,104.4
Svi Mykhailiuk,Nyk,G-F,25.65,13,3.1,6.4,17.3,12.3,5,0.6,2,0,10,0.6,0.75,0.739,1.6,0.5,9.4,0.1,3.6,0.08,0,0.15,5.6,N/A,N/A
Larry Nance Jr.,Nor,F-C,30.09,42,22.6,47.1,12.7,11.6,54,0.704,195,0.656,33,0.364,0.64,0.655,7.9,5.8,14.3,1.9,11.6,0.98,0.71,0.79,7.8,132.4,103.2
Andrew Nembhard,Ind,G-F,23.05,45,27.1,56.5,15.2,18,27,0.889,187,0.503,166,0.343,0.508,0.525,8.5,2.9,5.9,4,20.3,1,0.2,1.78,6.8,104.4,110.6
Aaron Nesmith,Ind,G-F,23.3,45,23.6,49.2,16.9,10,83,0.88,168,0.476,182,0.341,0.494,0.542,9.3,3.7,8.6,1.1,6.7,0.78,0.42,0.96,5.7,108,105.2
Raul Neto,Cle,G,30.71,33,10.3,21.5,11.7,12.4,20,0.9,39,0.692,30,0.333,0.609,0.656,3.1,0.9,5.4,1.4,18.5,0.36,0.09,0.33,6.1,134.3,106.1
Georges Niang,Phi,F,29.63,48,20,41.7,17.8,9.3,28,0.893,76,0.566,261,0.418,0.613,0.627,9.1,2.5,7.2,1.2,8.8,0.42,0.21,0.75,6,116.9,106.7
Daishen Nix,Hou,G,20.97,38,15.1,31.4,14,27.9,31,0.71,43,0.395,83,0.325,0.456,0.491,3.6,1.6,5.9,2.4,21.7,0.66,0.13,1.42,6.4,94.8,114.7
Zeke Nnaji,Den,F-C,22.07,41,12.9,26.9,14.7,9.5,49,0.653,100,0.68,41,0.293,0.61,0.627,5,2.3,10.2,0.3,2.8,0.29,0.39,0.41,4.7,127.5,105.1
Nerlens Noel,Det,C-F,28.82,13,11.4,23.8,11.5,19.8,10,0.7,26,0.423,2,0.5,0.446,0.494,2.5,2.8,13.4,0.5,6.3,1,0.69,0.62,5.3,96.3,99.8
Jaylen Nowell,Min,G,23.57,54,19.7,41,24.8,8.7,87,0.759,332,0.539,194,0.278,0.494,0.519,10.9,2.6,7.5,2,15.6,0.69,0.07,1,7.8,105.3,109.9
Frank Ntilikina,Dal,G,24.52,30,12.6,26.2,14,19.8,18,0.667,40,0.525,45,0.222,0.424,0.452,2.8,1.4,6.4,1.2,13.2,0.23,0.1,0.77,5.3,89.1,107.2
Kendrick Nunn,Lal,G,27.5,39,13.5,28.1,23.4,10.6,21,0.81,125,0.488,126,0.325,0.488,0.503,6.7,1.4,5.6,0.9,9.3,0.28,0.08,0.79,6,95.1,112.4
Jusuf Nurkic,Por,C,28.45,45,27.2,56.6,22.4,17.5,169,0.686,343,0.563,100,0.39,0.568,0.598,13.8,9.4,20.1,2.9,16.2,0.87,0.87,2.44,10.6,114,100.6
Jordan Nwora,Mil,F,24.4,38,15.7,32.7,17.6,13.6,43,0.86,95,0.379,102,0.392,0.487,0.53,6,3.1,10.2,1,8.7,0.32,0.18,0.89,6.8,106.1,108.7
Chuma Okeke,Orl,F,24.46,18,21.8,45.3,11.6,8.6,21,0.762,27,0.519,60,0.3,0.471,0.509,5.4,4.2,11,1.4,8.9,0.61,0.5,0.5,5.8,115.2,108.6
Josh Okogie,Pho,G,24.42,46,13.1,27.2,19.1,14.5,92,0.696,110,0.455,79,0.278,0.439,0.501,5,3,12.9,1.2,12.4,0.57,0.46,0.85,8,108.4,105.3
Onyeka Okongwu,Atl,F-C,22.14,50,24.5,51,13.8,13,102,0.735,299,0.649,4,0.25,0.645,0.67,9.3,7.4,16.4,1,5.3,0.66,1.26,1.04,6.7,132.4,102.7
Isaac Okoro,Cle,F-G,22.02,53,20.2,42.2,12.4,10.8,71,0.732,123,0.602,111,0.333,0.553,0.586,5.9,2.6,7.5,1,6.7,0.72,0.43,0.6,4.9,117.6,103.2
KZ Okpala,Sac,F-G,23.77,35,7.1,14.8,8.4,14.4,8,0.875,17,0.529,21,0.333,0.513,0.554,1.3,1,7.9,0.4,6.3,0.2,0.2,0.2,4.5,113,101.5
Victor Oladipo,Mia,G,30.75,26,28.4,59.2,19.8,14.4,57,0.754,135,0.504,125,0.296,0.475,0.509,11.2,3.5,7,3.9,20.4,1.65,0.23,1.85,7.5,102.4,103.7
Kelly Olynyk,Uta,F-C,31.79,41,28,58.4,17.2,19.8,124,0.831,178,0.567,143,0.406,0.586,0.638,11.7,4.9,9.5,3.2,15.7,1.05,0.63,2.27,8.1,116.7,104.1
Eugene Omoruyi,Okc,F,25.97,20,12.4,25.8,18.3,12.9,21,0.619,56,0.589,29,0.276,0.529,0.546,5.2,2.3,9.8,0.6,6.1,0.65,0,0.7,6.2,107.6,99
Royce O'Neale,Bro,F,29.66,48,34.5,71.8,13.4,16.1,42,0.714,126,0.389,272,0.397,0.53,0.543,9.4,4.9,8.1,4,14.5,0.9,0.71,1.67,6.6,107.8,109.3
Cedi Osman,Cle,F,27.82,51,21.1,44,18,8.8,74,0.676,162,0.617,199,0.357,0.572,0.588,9.1,2.2,6.2,1.4,10,0.49,0.1,0.75,5.8,114.8,106.7
Kelly Oubre Jr.,Cha,F-G,27.15,35,32.6,67.9,26.6,6,140,0.714,364,0.503,260,0.308,0.486,0.515,20.2,5.1,8.3,1.2,5.8,1.57,0.37,1.26,6.1,104.9,109.9
Chris Paul,Pho,G,37.75,32,31.6,65.9,19.3,14.2,102,0.824,207,0.473,141,0.404,0.527,0.574,14.1,4.3,7.6,8.5,38.1,1.34,0.41,2.03,10.1,123.2,109.1
Cameron Payne,Pho,G,28.49,28,24,49.9,24.5,14.3,49,0.776,181,0.436,127,0.378,0.49,0.516,12.1,2.3,5.3,5.3,33,0.89,0.18,1.96,8.8,107.3,109.4
Gary Payton II,Por,G,30.17,12,17.1,35.6,9.3,22.8,2,1,20,0.55,13,0.615,0.697,0.708,4,2.8,9.6,1.8,13.6,1,0.08,0.83,6.4,129.4,104.9
Theo Pinson,Dal,G-F,27.24,24,5.5,11.4,14.6,9.5,9,0.889,10,0.3,24,0.375,0.485,0.54,1.7,1.2,13.1,0.5,14,0.08,0,0.17,7.3,117.1,110.1
Scotty Pippen Jr.,Lal,G,22.23,6,5.3,10.9,24.1,11.1,9,0.556,9,0.333,3,0.333,0.375,0.439,2.3,0.7,6.8,0.3,8.3,0.33,0.17,0.33,5.9,92.7,107.8
Mason Plumlee,Cha,F-C,32.92,52,28.3,59,15.6,14.5,233,0.609,368,0.671,0,0,0.671,0.676,12.2,9.8,18.3,3.6,18.4,0.62,0.65,1.54,10.7,134.2,107.1
Jakob Poeltl,San,C,27.3,43,26,54.1,18.5,17.7,122,0.59,355,0.623,0,0,0.623,0.629,12,9.1,19.5,3,16.6,0.79,1.16,2.05,10.6,120,110.9
Aleksej Pokusevski,Okc,C,21.11,31,21.9,45.5,18.4,13.7,33,0.636,142,0.486,101,0.376,0.519,0.53,8.8,5.1,12.3,2,12.5,0.65,1.32,1.32,8.2,107.2,107.6
Jordan Poole,Gol,G,23.63,51,30.6,63.8,29.6,15.6,249,0.863,420,0.545,403,0.32,0.513,0.568,20.8,2.8,4.9,4.4,21.8,0.88,0.24,3.39,8.3,105.6,111
Kevin Porter Jr.,Hou,G-F,22.75,40,34,70.8,25.5,17,184,0.766,361,0.501,254,0.346,0.509,0.551,19.2,5.5,8.7,5.6,26.4,1.33,0.4,3.58,9.9,108.3,112
Michael Porter Jr.,Den,F,24.6,34,28.9,60.2,21.7,7.7,62,0.774,198,0.556,228,0.412,0.589,0.607,16.2,5.7,11.4,1.1,5.2,0.62,0.47,1.12,6.5,116.2,108.9
Otto Porter Jr.,Tor,F,29.67,8,18.3,38.1,10.9,10.7,8,1,13,0.692,17,0.353,0.6,0.656,5.5,2.4,7.3,1,7.3,1.38,0,0.5,5.2,132.4,112.5
Bobby Portis,Mil,F,27.98,47,26.8,55.7,21.7,9,70,0.829,393,0.567,170,0.341,0.551,0.571,14.4,10.1,19.5,1.8,10.6,0.47,0.23,1.26,9.5,117.9,104.3
Kristaps Porzingis,Was,F-C,27.51,42,32.6,67.9,27.2,10.6,289,0.827,416,0.536,227,0.348,0.531,0.599,22,8.8,14.7,2.5,11.7,0.98,1.57,2.17,9.6,117.8,105
Micah Potter,Uta,F,24.83,3,4.8,10,5.8,0,0,0,2,1,0,0,1,1,1.3,1,11.5,0.7,18.9,0,0,0,8.1,212.9,106.2
Dwight Powell,Dal,F-C,31.54,47,19.1,39.9,12.6,16.1,107,0.71,159,0.723,3,0,0.71,0.732,6.5,4,12.2,0.7,5.4,0.57,0.43,0.85,5.5,141.1,103
Norman Powell,Lac,G,29.69,44,25.4,52.9,25.7,11.3,192,0.797,291,0.526,207,0.425,0.572,0.621,16.4,3,6.5,1.7,10.9,0.75,0.36,1.68,6.9,115.9,108.8
Jason Preston,Lac,G,23.48,12,9.8,20.4,18.5,18,2,0,22,0.545,18,0.278,0.488,0.477,3.3,1.8,10.4,2.3,33.5,0.17,0,0.75,9.8,103.1,109.9
Joshua Primo,San,G,20.11,4,23.4,48.6,18.2,26.9,9,0.778,14,0.429,12,0.25,0.404,0.467,7,3.3,7.8,4.5,24.1,0.25,0.5,2.75,8,90.7,116.3
Taurean Prince,Min,F,28.87,30,21,43.8,16.1,13.9,33,0.818,89,0.596,101,0.406,0.603,0.626,8.5,2.4,6.3,1.3,8.7,0.43,0.33,1.1,5.7,112.6,106.9
Payton Pritchard,Bos,G,25.01,36,12.6,26.3,19.1,13.5,12,0.667,66,0.515,101,0.327,0.5,0.508,4.9,1.6,7,1.1,12,0.33,0.03,0.75,6.5,101.4,110.5
Trevelin Queen,Ind,G,25.94,7,10,20.8,22.7,18.3,5,1,14,0.357,15,0.133,0.276,0.337,3,2.4,13.3,0.9,11.4,0.29,0.71,1,7.5,78.7,114.5
Neemias Queta,Sac,C,23.56,4,6.1,12.8,17.3,10.1,2,0,8,0.75,0,0,0.75,0.676,3,2.3,21.1,0.3,6.3,0,0.25,0.25,8.4,133.5,87.4
Immanuel Quickley,Nyk,G,23.63,51,27.6,57.5,19.3,9.4,132,0.841,276,0.518,244,0.344,0.517,0.561,12.7,4.1,7.9,3.2,17.1,0.86,0.12,1.18,8,119,109.2
Julius Randle,Nyk,F-C,28.18,52,35.9,74.8,28.5,11.4,378,0.749,533,0.548,408,0.341,0.532,0.58,24.7,10.9,16.2,4.1,18.4,0.67,0.33,2.75,11.5,117.6,105.1
Austin Reaves,Lal,G,24.68,36,28.9,60.1,14.3,14,106,0.896,130,0.608,125,0.36,0.575,0.643,10.8,3.1,5.7,2.2,10,0.56,0.39,1.36,5.8,121.2,113.7
Cam Reddish,Nyk,F-G,23.42,20,21.9,45.6,16.1,9.1,33,0.879,80,0.55,56,0.304,0.511,0.558,8.4,1.6,3.8,1,6.5,0.75,0.4,0.75,4.3,113.1,111.6
Davon Reed,Den,G,27.65,31,9,18.7,14.3,16.3,18,0.722,28,0.25,41,0.366,0.428,0.468,2.3,1.5,10,0.5,6.9,0.26,0.13,0.48,5.3,93.5,106.1
